Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
MLT,2017-08-18,17:30,Birkirkara FC,Floriana FC,1,1,D,1,1,D
MLT,2017-08-18,17:30,Lija Athletics FC,Gżira United,0,4,A,0,1,A
MLT,2017-08-18,19:45,Hibernians FC,St. Andrews FC,4,0,H,2,0,H
MLT,2017-08-18,19:45,Tarxien Rainbows,Hamrun Spartans,1,4,A,1,2,A
MLT,2017-08-19,17:30,Balzan Youths,Naxxar Lions FC,2,0,H,1,0,H
MLT,2017-08-19,18:00,Sliema Wanderers,Senglea Athletics,2,2,D,2,1,H
MLT,2017-08-19,19:45,Valletta FC,Mosta FC,1,0,H,1,0,H
MLT,2017-08-25,17:30,St. Andrews FC,Balzan Youths,3,2,H,2,1,H
MLT,2017-08-25,17:30,Floriana FC,Tarxien Rainbows,5,0,H,2,0,H
MLT,2017-08-25,19:45,Senglea Athletics,Valletta FC,0,1,A,0,1,A
MLT,2017-08-25,19:45,Hamrun Spartans,Hibernians FC,0,1,A,0,0,D
MLT,2017-08-26,17:30,Gżira United,Birkirkara FC,2,0,H,0,0,D
MLT,2017-08-26,18:00,Mosta FC,Lija Athletics FC,3,1,H,2,0,H
MLT,2017-08-26,19:45,Naxxar Lions FC,Sliema Wanderers,1,5,A,1,2,A
