Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
DEN,2017-07-14,17:00,Aarhus GF,AC Horsens,1,2,A,1,2,A
DEN,2017-07-15,15:00,FC København,Aalborg BK,1,1,D,1,0,H
DEN,2017-07-15,17:30,SønderjyskE,Randers FC,0,0,D,0,0,D
DEN,2017-07-16,13:00,Lyngby BK,Silkeborg IF,2,1,H,1,0,H
DEN,2017-07-16,15:00,Hobro IK,FC Helsingør,2,1,H,0,1,A
DEN,2017-07-16,17:00,Brøndby IF,FC Midtjylland,4,0,H,2,0,H
DEN,2017-07-17,18:00,Odense BK,FC Nordsjælland,1,2,A,0,1,A
DEN,2017-07-21,18:00,Aarhus GF,Hobro IK,2,0,H,1,0,H
DEN,2017-07-22,15:00,Randers FC,FC København,0,3,A,0,1,A
DEN,2017-07-23,11:00,AC Horsens,Lyngby BK,4,1,H,2,0,H
DEN,2017-07-23,13:00,Aalborg BK,SønderjyskE,1,4,A,1,3,A
DEN,2017-07-23,15:00,FC Nordsjælland,Brøndby IF,3,2,H,0,1,A
DEN,2017-07-23,17:00,FC Midtjylland,Silkeborg IF,2,0,H,0,0,D
DEN,2017-07-24,18:00,FC Helsingør,Odense BK,0,2,A,0,1,A
DEN,2017-07-28,18:00,SønderjyskE,FC Helsingør,1,2,A,1,1,D
DEN,2017-07-29,15:00,Odense BK,AC Horsens,1,0,H,0,0,D
DEN,2017-07-29,17:00,FC København,Hobro IK,0,0,D,0,0,D
DEN,2017-07-30,13:00,FC Midtjylland,Randers FC,2,1,H,1,1,D
DEN,2017-07-30,15:00,FC Nordsjælland,Aalborg BK,3,2,H,1,1,D
DEN,2017-07-30,17:00,Brøndby IF,Lyngby BK,5,3,H,1,2,A
DEN,2017-07-31,18:00,Silkeborg IF,Aarhus GF,2,1,H,1,1,D
DEN,2017-08-04,18:00,AC Horsens,Silkeborg IF,1,0,H,1,0,H
DEN,2017-08-05,15:00,Hobro IK,Randers FC,2,0,H,1,0,H
