Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
GUA,2017-07-29,03:00,Deportivo Petapa,Comunicaciones,0,0,D,0,0,D
GUA,2017-07-30,18:00,CSD Municipal,Xelaju MC,0,1,A,0,0,D
GUA,2017-07-30,18:00,Siquinalá FC,Sanarate,1,0,H,0,0,D
GUA,2017-07-30,18:30,Antigua GFC,Deportivo Marquense,2,1,H,0,0,D
GUA,2017-07-30,19:00,Deportivo Malacateco,Deportivo Suchitepéquez,3,0,H,1,0,H
GUA,2017-07-30,21:30,Deportivo Guastatoya,Cobán Imperial,2,0,H,1,0,H
GUA,2017-08-05,19:00,Deportivo Suchitepéquez,Antigua GFC,1,0,H,0,0,D
GUA,2017-08-05,21:00,Cobán Imperial,Siquinalá FC,1,1,D,1,0,H
GUA,2017-08-06,01:00,Comunicaciones,Deportivo Guastatoya,1,0,H,0,0,D
GUA,2017-08-06,18:00,Sanarate,CSD Municipal,2,1,H,0,0,D
GUA,2017-08-06,19:00,Xelaju MC,Deportivo Malacateco,0,0,D,0,0,D
GUA,2017-08-06,19:00,Deportivo Marquense,Deportivo Petapa,0,4,A,0,0,D
GUA,2017-08-09,19:00,Siquinalá FC,Comunicaciones,0,3,A,0,2,A
GUA,2017-08-09,19:00,Deportivo Suchitepéquez,Xelaju MC,4,1,H,1,0,H
GUA,2017-08-09,19:00,Deportivo Malacateco,Sanarate,0,0,D,0,0,D
GUA,2017-08-09,19:30,CSD Municipal,Cobán Imperial,1,0,H,1,0,H
GUA,2017-08-09,22:00,Deportivo Guastatoya,Deportivo Marquense,4,2,H,1,1,D
GUA,2017-08-10,03:00,Deportivo Petapa,Antigua GFC,2,0,H,0,0,D
GUA,2017-08-13,03:00,Deportivo Petapa,Deportivo Guastatoya,1,0,H,1,0,H
GUA,2017-08-13,18:00,Sanarate,Deportivo Suchitepéquez,2,0,H,1,0,H
GUA,2017-08-13,18:30,Antigua GFC,Xelaju MC,2,0,H,1,0,H
GUA,2017-08-13,19:00,Deportivo Marquense,Siquinalá FC,1,0,H,1,0,H
GUA,2017-08-13,21:00,Cobán Imperial,Deportivo Malacateco,1,0,H,1,0,H
GUA,2017-08-14,01:00,Comunicaciones,CSD Municipal,1,1,D,0,1,A
GUA,2017-08-20,18:00,Siquinalá FC,Deportivo Petapa,1,4,A,1,2,A
GUA,2017-08-20,18:00,CSD Municipal,Deportivo Marquense,1,0,H,1,0,H
GUA,2017-08-20,19:00,Deportivo Suchitepéquez,Cobán Imperial,2,2,D,1,0,H
GUA,2017-08-20,19:00,Deportivo Malacateco,Comunicaciones,2,0,H,1,0,H
GUA,2017-08-20,19:00,Xelaju MC,Sanarate,4,1,H,1,0,H
GUA,2017-08-20,21:30,Deportivo Guastatoya,Antigua GFC,0,0,D,0,0,D
GUA,2017-08-26,03:00,Deportivo Petapa,CSD Municipal,1,1,D,1,1,D
GUA,2017-08-27,01:00,Comunicaciones,Deportivo Suchitepéquez,2,0,H,0,0,D
GUA,2017-08-27,18:30,Antigua GFC,Sanarate,2,0,H,1,0,H
GUA,2017-08-27,19:00,Deportivo Marquense,Deportivo Malacateco,1,0,H,0,0,D
GUA,2017-08-27,21:00,Cobán Imperial,Xelaju MC,1,1,D,1,1,D
GUA,2017-08-27,21:30,Deportivo Guastatoya,Siquinalá FC,3,0,H,1,0,H
GUA,2017-09-03,03:30,Xelaju MC,Comunicaciones,2,0,H,1,0,H
