Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
SK1,,Slovan Bratislava,DAC Dunajska Streda,1,1,D,0,1,A
SK1,,Spartak Myjava,Dukla Banská Bystrica,0,4,A,0,3,A
SK1,,MFK Košice,Zlate Moravce,2,0,H,1,0,H
SK1,,FK AS Trenčín,FC Nitra,4,0,H,0,0,D
SK1,,FK Senica,Spartak Trnava,2,1,H,1,0,H
SK1,,MFK Ružomberok,MŠK Žilina,2,2,D,1,1,D
SK1,,Zlate Moravce,MFK Ružomberok,1,3,A,1,2,A
SK1,,Dukla Banská Bystrica,MFK Košice,1,0,H,1,0,H
SK1,,FC Nitra,Spartak Myjava,0,1,A,0,0,D
SK1,,DAC Dunajska Streda,MŠK Žilina,0,1,A,0,1,A
SK1,,Spartak Trnava,FK AS Trenčín,2,1,H,0,0,D
SK1,,Slovan Bratislava,FK Senica,1,0,H,1,0,H
SK1,,MFK Košice,FC Nitra,4,2,H,1,1,D
SK1,,MFK Ružomberok,Dukla Banská Bystrica,2,1,H,1,0,H
SK1,,Spartak Myjava,Spartak Trnava,6,2,H,4,2,H
SK1,,MŠK Žilina,Zlate Moravce,3,1,H,0,0,D
SK1,,FK AS Trenčín,Slovan Bratislava,4,2,H,0,0,D
SK1,,FK Senica,DAC Dunajska Streda,4,0,H,0,0,D
SK1,,FC Nitra,MFK Ružomberok,3,3,D,1,2,A
SK1,,DAC Dunajska Streda,Zlate Moravce,0,1,A,0,0,D
SK1,,Spartak Trnava,MFK Košice,0,0,D,0,0,D
SK1,,Dukla Banská Bystrica,MŠK Žilina,3,3,D,0,2,A
SK1,,Slovan Bratislava,Spartak Myjava,5,0,H,2,0,H
SK1,,FK Senica,FK AS Trenčín,3,1,H,0,0,D
SK1,,MFK Ružomberok,Spartak Trnava,3,2,H,1,0,H
SK1,,Zlate Moravce,Dukla Banská Bystrica,0,0,D,0,0,D
SK1,,Spartak Myjava,FK Senica,2,2,D,1,1,D
SK1,,FK AS Trenčín,DAC Dunajska Streda,6,0,H,5,0,H
SK1,,MFK Košice,Slovan Bratislava,0,1,A,0,0,D
SK1,,MŠK Žilina,FC Nitra,4,4,D,1,3,A
SK1,,DAC Dunajska Streda,Dukla Banská Bystrica,1,1,D,0,1,A
SK1,,Spartak Trnava,MŠK Žilina,1,0,H,0,0,D
SK1,,FK AS Trenčín,Spartak Myjava,2,3,A,1,0,H
SK1,,FC Nitra,Zlate Moravce,2,3,A,0,1,A
SK1,,FK Senica,MFK Košice,1,0,H,1,0,H
SK1,,Slovan Bratislava,MFK Ružomberok,3,2,H,2,0,H
SK1,,Zlate Moravce,Spartak Trnava,2,0,H,2,0,H
SK1,,Spartak Myjava,DAC Dunajska Streda,4,1,H,1,0,H
SK1,,MFK Košice,FK AS Trenčín,0,1,A,0,0,D
SK1,,MFK Ružomberok,FK Senica,1,1,D,0,1,A
SK1,,MŠK Žilina,Slovan Bratislava,2,0,H,1,0,H
SK1,,Dukla Banská Bystrica,FC Nitra,4,0,H,2,0,H
SK1,,FK Senica,MŠK Žilina,2,1,H,1,1,D
SK1,,DAC Dunajska Streda,FC Nitra,1,0,H,0,0,D
SK1,,Spartak Trnava,Dukla Banská Bystrica,2,1,H,0,1,A
SK1,,FK AS Trenčín,MFK Ružomberok,0,1,A,0,1,A
SK1,,Spartak Myjava,MFK Košice,1,0,H,0,0,D
