Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
BRA,2014-04-19,22:30,Fluminense RJ,Figueirense,3,0,H,2,0,H
BRA,2014-04-19,22:30,Internacional,EC Vitória BA,1,0,H,1,0,H
BRA,2014-04-20,01:00,Chapecoense,Coritiba FC,0,0,D,0,0,D
BRA,2014-04-20,20:00,São Paulo FC,Botafogo RJ,3,0,H,2,0,H
BRA,2014-04-20,20:00,Atlético Paranaense,Grêmio Porto Alegre,1,0,H,1,0,H
BRA,2014-04-20,20:00,Atlético Mineiro,Corinthians SP,0,0,D,0,0,D
BRA,2014-04-20,20:00,EC Bahia,Cruzeiro EC,1,2,A,0,0,D
BRA,2014-04-20,22:30,Flamengo RJ,Goiás EC,0,0,D,0,0,D
BRA,2014-04-20,22:30,Santos FC,Sport Club Recife,1,1,D,0,0,D
BRA,2014-04-20,22:30,Criciúma EC,SE Palmeiras,1,2,A,1,0,H
BRA,2014-04-26,22:30,Coritiba FC,Santos FC,0,0,D,0,0,D
BRA,2014-04-27,01:00,SE Palmeiras,Fluminense RJ,0,1,A,0,1,A
BRA,2014-04-27,20:00,Botafogo RJ,Internacional,2,2,D,0,2,A
BRA,2014-04-27,20:00,Corinthians SP,Flamengo RJ,2,0,H,1,0,H
BRA,2014-04-27,20:00,Cruzeiro EC,São Paulo FC,1,1,D,0,0,D
BRA,2014-04-27,20:00,EC Vitória BA,Atlético Paranaense,2,2,D,2,0,H
BRA,2014-04-27,22:30,Sport Club Recife,Chapecoense,2,1,H,2,1,H
BRA,2014-04-27,22:30,Grêmio Porto Alegre,Atlético Mineiro,2,1,H,2,0,H
BRA,2014-04-27,22:30,Figueirense,EC Bahia,0,2,A,0,1,A
BRA,2014-04-27,22:30,Goiás EC,Criciúma EC,1,0,H,0,0,D
BRA,2014-05-03,22:30,São Paulo FC,Coritiba FC,2,2,D,1,1,D
BRA,2014-05-03,22:30,Santos FC,Grêmio Porto Alegre,0,0,D,0,0,D
BRA,2014-05-03,22:30,Atlético Paranaense,Cruzeiro EC,2,3,A,2,1,H
BRA,2014-05-04,01:00,Fluminense RJ,EC Vitória BA,1,2,A,0,0,D
BRA,2014-05-04,20:00,Flamengo RJ,SE Palmeiras,4,2,H,1,2,A
BRA,2014-05-04,20:00,EC Bahia,Botafogo RJ,1,0,H,0,0,D
BRA,2014-05-04,20:00,Internacional,Sport Club Recife,2,1,H,2,0,H
BRA,2014-05-04,20:00,Criciúma EC,Figueirense,1,0,H,1,0,H
BRA,2014-05-04,22:30,Atlético Mineiro,Goiás EC,0,1,A,0,0,D
BRA,2014-05-04,22:30,Chapecoense,Corinthians SP,0,1,A,0,0,D
BRA,2014-05-10,22:30,SE Palmeiras,Goiás EC,2,0,H,2,0,H
BRA,2014-05-10,22:30,Internacional,Atlético Paranaense,2,1,H,0,0,D
