Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
WAL,2014-02-08,14:30,Prestatyn Town,Port Talbot Town,2,4,A,1,2,A
WAL,2014-02-18,19:30,Afan Lido FC,Aberystwyth Town,0,6,A,0,2,A
WAL,2014-02-18,19:45,Gap Connah's Quay FC,Prestatyn Town,1,1,D,1,1,D
WAL,2014-02-22,12:30,Afan Lido FC,Prestatyn Town,0,2,A,0,2,A
WAL,2014-02-22,15:00,Port Talbot Town,Gap Connah's Quay FC,1,2,A,0,0,D
WAL,2014-03-04,19:45,Aberystwyth Town,Gap Connah's Quay FC,2,1,H,2,0,H
WAL,2014-03-08,14:30,Gap Connah's Quay FC,Afan Lido FC,3,0,H,0,0,D
WAL,2014-03-08,14:30,Prestatyn Town,Bala Town,1,2,A,1,1,D
WAL,2014-03-14,19:30,Afan Lido FC,Port Talbot Town,2,8,A,1,2,A
WAL,2014-03-14,19:30,Bala Town,Gap Connah's Quay FC,2,0,H,2,0,H
WAL,2014-03-14,19:30,Aberystwyth Town,Prestatyn Town,4,0,H,2,0,H
WAL,2014-03-22,14:30,Afan Lido FC,Bala Town,0,5,A,0,2,A
WAL,2014-03-22,14:30,Gap Connah's Quay FC,Aberystwyth Town,3,0,H,1,0,H
WAL,2014-03-22,15:45,Port Talbot Town,Prestatyn Town,2,0,H,1,0,H
WAL,2014-03-25,19:45,Bala Town,Aberystwyth Town,1,2,A,0,1,A
WAL,2014-03-28,19:30,Aberystwyth Town,Afan Lido FC,7,1,H,2,0,H
WAL,2014-03-29,14:30,Prestatyn Town,Gap Connah's Quay FC,1,1,D,0,0,D
WAL,2014-03-29,15:45,Bala Town,Port Talbot Town,3,1,H,2,1,H
WAL,2014-04-07,19:30,Port Talbot Town,Afan Lido FC,0,0,D,0,0,D
WAL,2014-04-11,19:52,Aberystwyth Town,Bala Town,2,3,A,1,1,D
WAL,2014-04-12,15:07,Gap Connah's Quay FC,Port Talbot Town,2,0,H,1,0,H
WAL,2014-04-12,15:07,Prestatyn Town,Afan Lido FC,4,0,H,1,0,H
WAL,2014-04-15,19:45,Gap Connah's Quay FC,Bala Town,1,1,D,0,1,A
WAL,2014-04-18,15:00,Bala Town,Prestatyn Town,2,4,A,2,3,A
WAL,2014-04-18,19:30,Port Talbot Town,Aberystwyth Town,1,1,D,0,1,A
WAL,2014-04-21,14:30,Bala Town,Afan Lido FC,6,0,H,2,0,H
WAL,2014-04-22,19:30,Aberystwyth Town,Port Talbot Town,6,1,H,4,0,H
WAL,2014-04-26,15:30,Port Talbot Town,Bala Town,2,1,H,1,1,D
WAL,2014-04-26,15:30,Afan Lido FC,Gap Connah's Quay FC,1,8,A,1,3,A
WAL,2014-04-26,15:30,Prestatyn Town,Aberystwyth Town,0,1,A,0,0,D
