Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
SWE,1941-07-20,,Sandvikens IF,AIK Solna,3,1,H,,,
SWE,1941-07-20,,Reymersholms IK,IFK Norrköping,1,5,A,,,
SWE,1941-07-20,,Malmö FF,IF Elfsborg,4,1,H,,,
SWE,1941-07-20,,Landskrona BoIS,Helsingborgs IF,1,3,A,,,
SWE,1941-07-20,,Gårda BK,IFK Göteborg,1,6,A,,,
SWE,1941-07-20,,Degerfors IF,GAIS Göteborg,1,1,D,,,
SWE,1941-08-03,,IFK Norrköping,IFK Göteborg,4,1,H,,,
SWE,1941-08-03,,Helsingborgs IF,Gårda BK,6,0,H,,,
SWE,1941-08-03,,GAIS Göteborg,Malmö FF,1,1,D,,,
SWE,1941-08-03,,IF Elfsborg,Reymersholms IK,6,1,H,,,
SWE,1941-08-03,,Degerfors IF,Sandvikens IF,8,0,H,,,
SWE,1941-08-03,,AIK Solna,Landskrona BoIS,1,2,A,,,
SWE,1941-08-08,,Gårda BK,IF Elfsborg,1,1,D,,,
SWE,1941-08-10,,Sandvikens IF,Helsingborgs IF,1,4,A,,,
SWE,1941-08-10,,Reymersholms IK,GAIS Göteborg,1,2,A,,,
SWE,1941-08-10,,IFK Norrköping,Malmö FF,2,2,D,,,
SWE,1941-08-10,,Landskrona BoIS,Degerfors IF,3,4,A,,,
SWE,1941-08-10,,IFK Göteborg,AIK Solna,3,2,H,,,
SWE,1941-08-15,,IFK Göteborg,GAIS Göteborg,3,0,H,,,
SWE,1941-08-22,,GAIS Göteborg,Gårda BK,4,1,H,,,
SWE,1941-08-24,,Sandvikens IF,IFK Norrköping,0,1,A,,,
SWE,1941-08-24,,Malmö FF,Landskrona BoIS,1,1,D,,,
SWE,1941-08-24,,Helsingborgs IF,IF Elfsborg,4,1,H,,,
SWE,1941-08-24,,IFK Göteborg,Degerfors IF,3,2,H,,,
SWE,1941-08-24,,AIK Solna,Reymersholms IK,4,1,H,,,
SWE,1941-08-31,,Reymersholms IK,Sandvikens IF,3,1,H,,,
SWE,1941-08-31,,Landskrona BoIS,IFK Norrköping,1,2,A,,,
SWE,1941-08-31,,Gårda BK,Helsingborgs IF,0,0,D,,,
SWE,1941-08-31,,IF Elfsborg,AIK Solna,1,0,H,,,
SWE,1941-08-31,,Degerfors IF,Malmö FF,1,3,A,,,
SWE,1941-09-07,,IFK Norrköping,Sandvikens IF,2,2,D,,,
SWE,1941-09-07,,Malmö FF,Degerfors IF,1,1,D,,,
SWE,1941-09-07,,Helsingborgs IF,Reymersholms IK,2,0,H,,,
SWE,1941-09-07,,GAIS Göteborg,Landskrona BoIS,6,3,H,,,
SWE,1941-09-07,,IF Elfsborg,IFK Göteborg,1,1,D,,,
SWE,1941-09-07,,AIK Solna,Gårda BK,4,2,H,,,
SWE,1941-09-21,,Sandvikens IF,GAIS Göteborg,2,3,A,,,
SWE,1941-09-21,,Reymersholms IK,IF Elfsborg,0,2,A,,,
SWE,1941-09-21,,Helsingborgs IF,Malmö FF,2,2,D,,,
SWE,1941-09-21,,IFK Göteborg,Landskrona BoIS,4,0,H,,,
SWE,1941-09-21,,Gårda BK,IFK Norrköping,1,4,A,,,
SWE,1941-09-21,,Degerfors IF,AIK Solna,2,2,D,,,
SWE,1941-09-28,,IFK Norrköping,Helsingborgs IF,3,0,H,,,
SWE,1941-09-28,,Malmö FF,Reymersholms IK,2,2,D,,,
SWE,1941-09-28,,Landskrona BoIS,Sandvikens IF,1,0,H,,,
SWE,1941-09-28,,GAIS Göteborg,IF Elfsborg,1,1,D,,,
SWE,1941-09-28,,Gårda BK,Degerfors IF,1,0,H,,,
SWE,1941-09-28,,AIK Solna,IFK Göteborg,2,3,A,,,
SWE,1941-10-05,,Degerfors IF,Gårda BK,4,2,H,,,
SWE,1941-10-12,,Reymersholms IK,Degerfors IF,3,2,H,,,
SWE,1941-10-12,,Malmö FF,AIK Solna,0,3,A,,,
SWE,1941-10-12,,Landskrona BoIS,Gårda BK,1,4,A,,,
SWE,1941-10-12,,GAIS Göteborg,IFK Norrköping,5,2,H,,,
SWE,1941-10-12,,IFK Göteborg,Sandvikens IF,2,0,H,,,
SWE,1941-10-12,,IF Elfsborg,Helsingborgs IF,2,3,A,,,
SWE,1941-10-19,,Sandvikens IF,Malmö FF,2,3,A,,,
SWE,1941-10-19,,Helsingborgs IF,IFK Göteborg,2,1,H,,,
SWE,1941-10-19,,Gårda BK,Reymersholms IK,2,2,D,,,
SWE,1941-10-26,,Sandvikens IF,Landskrona BoIS,1,0,H,,,
SWE,1941-10-26,,IFK Norrköping,Gårda BK,3,2,H,,,
SWE,1941-10-26,,GAIS Göteborg,Degerfors IF,1,1,D,,,
SWE,1941-10-26,,IF Elfsborg,Malmö FF,4,0,H,,,
SWE,1941-11-02,,Malmö FF,Sandvikens IF,2,3,A,,,
SWE,1941-11-02,,Landskrona BoIS,Reymersholms IK,3,1,H,,,
SWE,1941-11-02,,IFK Göteborg,Helsingborgs IF,2,1,H,,,
SWE,1941-11-09,,IFK Norrköping,Landskrona BoIS,5,1,H,,,
SWE,1941-11-09,,Degerfors IF,IF Elfsborg,3,1,H,,,
SWE,1941-11-09,,AIK Solna,GAIS Göteborg,2,2,D,,,
SWE,1942-04-12,,Gårda BK,Malmö FF,2,0,H,,,
SWE,1942-04-19,,Sandvikens IF,Degerfors IF,3,1,H,,,
SWE,1942-04-19,,Reymersholms IK,Helsingborgs IF,0,3,A,,,
SWE,1942-04-19,,IFK Norrköping,AIK Solna,4,1,H,,,
SWE,1942-04-19,,Landskrona BoIS,GAIS Göteborg,0,3,A,,,
SWE,1942-04-19,,IFK Göteborg,IF Elfsborg,2,1,H,,,
SWE,1942-04-26,,Sandvikens IF,IFK Göteborg,1,4,A,,,
SWE,1942-04-26,,Reymersholms IK,Landskrona BoIS,2,0,H,,,
SWE,1942-04-26,,Malmö FF,GAIS Göteborg,1,0,H,,,
SWE,1942-04-26,,Gårda BK,AIK Solna,2,1,H,,,
SWE,1942-04-26,,IF Elfsborg,IFK Norrköping,2,1,H,,,
SWE,1942-04-26,,Degerfors IF,Helsingborgs IF,2,1,H,,,
SWE,1942-05-01,,GAIS Göteborg,Reymersholms IK,1,2,A,,,
SWE,1942-05-03,,IFK Norrköping,GAIS Göteborg,1,3,A,,,
SWE,1942-05-03,,Helsingborgs IF,Landskrona BoIS,2,0,H,,,
SWE,1942-05-03,,IFK Göteborg,Malmö FF,2,0,H,,,
SWE,1942-05-03,,IF Elfsborg,Gårda BK,2,3,A,,,
SWE,1942-05-03,,Degerfors IF,Reymersholms IK,2,2,D,,,
SWE,1942-05-03,,AIK Solna,Sandvikens IF,2,1,H,,,
SWE,1942-05-07,,AIK Solna,IFK Norrköping,1,0,H,,,
SWE,1942-05-08,,IFK Göteborg,Gårda BK,2,0,H,,,
SWE,1942-05-10,,Sandvikens IF,IF Elfsborg,0,0,D,,,
SWE,1942-05-10,,Reymersholms IK,Malmö FF,0,4,A,,,
SWE,1942-05-10,,IFK Norrköping,Degerfors IF,3,1,H,,,
SWE,1942-05-10,,Landskrona BoIS,AIK Solna,1,1,D,,,
SWE,1942-05-10,,GAIS Göteborg,Helsingborgs IF,1,1,D,,,
SWE,1942-05-14,,Sandvikens IF,Gårda BK,1,1,D,,,
SWE,1942-05-14,,Malmö FF,IFK Norrköping,2,1,H,,,
SWE,1942-05-14,,Landskrona BoIS,IFK Göteborg,0,0,D,,,
SWE,1942-05-14,,Helsingborgs IF,Degerfors IF,0,1,A,,,
SWE,1942-05-14,,AIK Solna,IF Elfsborg,0,0,D,,,
SWE,1942-05-17,,IFK Norrköping,Reymersholms IK,2,1,H,,,
SWE,1942-05-17,,Helsingborgs IF,GAIS Göteborg,0,2,A,,,
SWE,1942-05-17,,Gårda BK,Landskrona BoIS,3,0,H,,,
SWE,1942-05-17,,IF Elfsborg,Sandvikens IF,1,2,A,,,
SWE,1942-05-17,,Degerfors IF,IFK Göteborg,4,1,H,,,
SWE,1942-05-17,,AIK Solna,Malmö FF,1,1,D,,,
SWE,1942-05-22,,Reymersholms IK,AIK Solna,1,3,A,,,
SWE,1942-05-22,,Malmö FF,Helsingborgs IF,2,1,H,,,
SWE,1942-05-22,,GAIS Göteborg,IFK Göteborg,3,1,H,,,
SWE,1942-05-25,,Reymersholms IK,IFK Göteborg,2,2,D,,,
SWE,1942-05-25,,Helsingborgs IF,AIK Solna,1,1,D,,,
SWE,1942-05-25,,Landskrona BoIS,IF Elfsborg,0,2,A,,,
