Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
KOR,2016-10-15,07:00,Jeonbuk FC,Jeju United,2,3,A,1,0,H
KOR,2016-10-15,07:00,FC Seoul,Ulsan Hyundai,2,0,H,1,0,H
KOR,2016-10-16,07:00,Sangju Sangmu,Jeonnam Dragons,0,1,A,0,0,D
KOR,2016-10-22,07:00,Ulsan Hyundai,Jeonbuk FC,0,0,D,0,0,D
KOR,2016-10-22,07:20,FC Seoul,Sangju Sangmu,2,2,D,1,1,D
KOR,2016-10-23,07:00,Jeju United,Jeonnam Dragons,5,3,H,2,0,H
KOR,2016-10-29,07:00,Jeonnam Dragons,Jeonbuk FC,0,5,A,0,1,A
KOR,2016-10-30,06:00,Sangju Sangmu,Ulsan Hyundai,1,2,A,1,2,A
KOR,2016-10-30,06:00,Jeju United,FC Seoul,0,2,A,0,1,A
KOR,2016-11-02,10:00,Jeonbuk FC,Sangju Sangmu,4,1,H,1,0,H
KOR,2016-11-02,10:30,FC Seoul,Jeonnam Dragons,2,1,H,2,0,H
KOR,2016-11-02,10:30,Ulsan Hyundai,Jeju United,0,0,D,0,0,D
KOR,2016-11-06,06:00,Jeonbuk FC,FC Seoul,0,1,A,0,0,D
KOR,2016-11-06,06:00,Jeonnam Dragons,Ulsan Hyundai,1,1,D,0,1,A
KOR,2016-11-06,06:00,Jeju United,Sangju Sangmu,3,0,H,2,0,H
