Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
NIR,2017-08-11,19:45,Ballymena United,Crusaders FC,1,4,A,0,0,D
NIR,2017-08-12,15:00,Ballinamallard United FC,Glentoran Belfast,1,2,A,1,1,D
NIR,2017-08-12,15:00,Cliftonville FC,Ards FC,6,3,H,3,2,H
NIR,2017-08-12,15:00,Dungannon Swifts,Coleraine FC,1,3,A,0,0,D
NIR,2017-08-12,15:00,Linfield FC,Carrick Rangers,2,0,H,2,0,H
NIR,2017-08-12,17:30,Warrenpoint Town,Glenavon FC,2,3,A,1,2,A
NIR,2017-08-15,19:45,Ards FC,Linfield FC,0,2,A,0,2,A
NIR,2017-08-15,19:45,Carrick Rangers,Ballymena United,1,1,D,0,0,D
NIR,2017-08-15,19:45,Coleraine FC,Cliftonville FC,2,0,H,0,0,D
NIR,2017-08-15,19:45,Crusaders FC,Warrenpoint Town,5,0,H,4,0,H
NIR,2017-08-15,19:45,Glenavon FC,Ballinamallard United FC,6,2,H,1,1,D
NIR,2017-08-15,19:45,Glentoran Belfast,Dungannon Swifts,2,0,H,0,0,D
NIR,2017-08-19,15:00,Ballinamallard United FC,Cliftonville FC,1,1,D,1,1,D
NIR,2017-08-19,15:00,Ballymena United,Glenavon FC,1,6,A,0,0,D
NIR,2017-08-19,15:00,Crusaders FC,Coleraine FC,1,2,A,0,2,A
NIR,2017-08-19,15:00,Dungannon Swifts,Linfield FC,0,4,A,0,3,A
NIR,2017-08-19,15:00,Glentoran Belfast,Carrick Rangers,1,1,D,1,0,H
NIR,2017-08-19,15:00,Warrenpoint Town,Ards FC,1,0,H,0,0,D
NIR,2017-08-25,19:45,Ards FC,Dungannon Swifts,0,1,A,0,0,D
NIR,2017-08-25,19:45,Glenavon FC,Glentoran Belfast,2,2,D,1,0,H
NIR,2017-08-25,20:00,Carrick Rangers,Ballinamallard United FC,2,0,H,1,0,H
NIR,2017-08-25,20:00,Coleraine FC,Warrenpoint Town,2,1,H,1,1,D
NIR,2017-08-26,15:00,Cliftonville FC,Crusaders FC,1,2,A,0,2,A
NIR,2017-08-26,15:00,Linfield FC,Ballymena United,1,0,H,0,0,D
NIR,2017-09-02,15:00,Ballymena United,Cliftonville FC,1,0,H,0,0,D
NIR,2017-09-02,15:00,Coleraine FC,Glenavon FC,4,2,H,3,1,H
NIR,2017-09-02,15:00,Dungannon Swifts,Ballinamallard United FC,2,0,H,1,0,H
NIR,2017-09-02,15:00,Glentoran Belfast,Warrenpoint Town,2,0,H,0,0,D
