Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
RO1,NaN,FC Voluntari,FC Viitorul Constanța,0,1,A,0,1,A
RO1,NaN,Pandurii Târgu Jiu,CS Universitatea Craiova,2,1,H,0,0,D
RO1,NaN,Gaz Metan Mediaş,ASA Târgu Mureş,2,1,H,1,1,D
RO1,NaN,Astra Giurgiu,Dinamo Bucureşti,1,4,A,0,2,A
RO1,NaN,CFR Cluj,Concordia Chiajna,2,0,H,0,0,D
RO1,NaN,ACS Poli Timişoara,FC Botoşani,0,5,A,0,2,A
RO1,NaN,CSMS Iaşi,Gaz Metan Mediaş,3,1,H,1,1,D
RO1,NaN,FC Botoşani,CFR Cluj,3,1,H,1,1,D
RO1,NaN,Dinamo Bucureşti,ACS Poli Timişoara,2,1,H,2,0,H
RO1,NaN,Pandurii Târgu Jiu,Astra Giurgiu,0,0,D,0,0,D
RO1,NaN,FC Viitorul Constanța,Steaua Bucureşti,1,3,A,1,1,D
RO1,NaN,CS Universitatea Craiova,ASA Târgu Mureş,2,1,H,1,0,H
RO1,NaN,Concordia Chiajna,FC Voluntari,0,4,A,0,0,D
RO1,NaN,FC Voluntari,FC Botoşani,4,2,H,3,1,H
RO1,NaN,ASA Târgu Mureş,CSMS Iaşi,0,3,A,0,3,A
RO1,NaN,Astra Giurgiu,CS Universitatea Craiova,1,2,A,1,2,A
RO1,NaN,Steaua Bucureşti,Concordia Chiajna,1,0,H,0,0,D
RO1,NaN,Gaz Metan Mediaş,FC Viitorul Constanța,2,1,H,1,0,H
RO1,NaN,ACS Poli Timişoara,Pandurii Târgu Jiu,1,3,A,0,1,A
RO1,NaN,CFR Cluj,Dinamo Bucureşti,0,0,D,0,0,D
RO1,NaN,FC Botoşani,Steaua Bucureşti,0,2,A,0,0,D
RO1,NaN,Concordia Chiajna,Gaz Metan Mediaş,1,0,H,0,0,D
RO1,NaN,Astra Giurgiu,ACS Poli Timişoara,3,1,H,1,0,H
RO1,NaN,Pandurii Târgu Jiu,CFR Cluj,1,1,D,0,0,D
RO1,NaN,FC Viitorul Constanța,ASA Târgu Mureş,3,1,H,1,0,H
RO1,NaN,CS Universitatea Craiova,CSMS Iaşi,2,0,H,1,0,H
RO1,NaN,Dinamo Bucureşti,FC Voluntari,3,1,H,3,0,H
RO1,NaN,CSMS Iaşi,FC Viitorul Constanța,0,0,D,0,0,D
RO1,NaN,ASA Târgu Mureş,Concordia Chiajna,0,1,A,0,0,D
RO1,NaN,Steaua Bucureşti,Dinamo Bucureşti,1,1,D,1,1,D
RO1,NaN,FC Voluntari,Pandurii Târgu Jiu,0,0,D,0,0,D
RO1,NaN,CFR Cluj,Astra Giurgiu,5,1,H,1,1,D
RO1,NaN,Gaz Metan Mediaş,FC Botoşani,0,0,D,0,0,D
RO1,NaN,ACS Poli Timişoara,CS Universitatea Craiova,3,2,H,1,0,H
RO1,NaN,Concordia Chiajna,CSMS Iaşi,0,0,D,0,0,D
RO1,NaN,Dinamo Bucureşti,Gaz Metan Mediaş,1,1,D,1,1,D
RO1,NaN,ACS Poli Timişoara,CFR Cluj,1,1,D,1,0,H
RO1,NaN,Pandurii Târgu Jiu,Steaua Bucureşti,0,1,A,0,0,D
RO1,NaN,CS Universitatea Craiova,FC Viitorul Constanța,2,1,H,0,0,D
RO1,NaN,Astra Giurgiu,FC Voluntari,1,1,D,0,0,D
